ID,Post,Labels,Simple_Labels,SubCategory,"Simple_Labels,SubCategory",,
3994,એ હેલ્થ વર્કર બેન ને બદલી કરાઈ દેવાય છે । હવે મિડીયા એ પણ બતાવે કે આપણી રાજનિતિ મા જેટલો ભષ્ટાચાર છે એને કયારે ઉજાગર કરશો,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
3995,આતો ચાલે એનો વિરોધ છે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
3996,ફોટાનો શોખ ના રાખો તો કાંઇ ચિંતા નતી,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
3997,નેતાઓ એ પણ કોરોના ની મહામારીમાં પણ મીટીંગો કરી છે ત્યાં કેમ વિરોધ નથી કરતા,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
3998,તમે આવા છો તો ચોર નેતા ઓ ને પકડો ભાડવાઓ એમને કઈ ખોટી નથી કર્યું લુખેશ,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
3999,"ભાઈ ફોટો પડાયો સે...
કઈ લૂંટ નથી કરી...
સલાઓ આટલા ફાટ્યા સો થોડો ભગવાન ઉપર ભરોસો રાખો....
સારા લોકો ને આવી રીતે ખોટાં ના ફસાવો...","""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4000,ગીતાબેન માફી ચાહું છું.. પણ તમે રબારી સમાજ- રબારી સમાજ કરતા હોવ છો પણ જ્યા સમાજને તમારી જરૂર હોય ત્યાં એક પણ જગ્યાએ તમે મદદરૂપ થયા નથી.. ઉદાહરણ તરીકે કોનસ્ટેબલ પરીક્ષા વિવાદ બાદ ગીર બરડાના રબારી ગાંધીનગર ખાતે આંદોલન પર બેઠા હતા ત્યારે તમારે ત્યાં આવીને સમાજને હિંમત આપવાની જરૂર હતી અને જ્યારે રબારી સમાજની દીકરીઓ ઉપવાસ પર બેઠી હતી ત્યારે પણ તમે આવ્યા ન હતા... આ સમાજને કારણે તમે આગળ આવ્યા છો અને સમાજને કારણે તમે ઉજળા છો.. બાકી તમારા કરતાં પણ ઘણાં સારા ગાયક કલાકારો બેઠા છે... બસ તમે સમાજના નામે આગળ આવ્યા અને પૈસા કમાઈને મોજ કરો છો...,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4001,વેક્સીન લીધી છે ભાઈ કંઈ આતંકવાદી હુમલો નથી કર્યો અને લોક જાગૃતિ માટે ફોટો પડાવ્યો છે તો સારુ જ છે કદાચ ઘરે જઈ ને આપી હોય તો પણ લોક જાગૃતિ માટે કાંઈ ખોટું નથી,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4002,પણ ફોટો તો ગમે ત્યાં પડી શકાય ને દવાખાને પણ પાડી શકાતો હતો કોઈના ઘરે શું કરવા કર્મચારીઓ તમારા છે કે સરકાર અને પ્રજાના.,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4003,આટલું ધ્યાન જો રાજકારણ અને વિજયભાઈ રૂપાણી ના પ્રશ્નો માં રાખે તો ગુજરાત સરકાર ખાડા માં ના જઈ રઈ હોત 😡😡,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4004,ગોપાલ ભાઈ મહેશભાઈ ઈશુદાનભાઈ ગુજરાતમાં લોકસભાની આગામી ચૂંટણીમાં પુરી તાકાત લગાવો આપનીજ સરકાર આવવી જોઈએ,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4005,આમ આદમી પાર્ટી સરકારી તંત્ર ઉપર સારુ નિયંત્રણ કરી જાણે છે એજ એની કાર્યકુશળતાની સાચી ઓળખ છે.એટલે તેનો કોઇ વિકલ્પ નથી.,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
4006,તું અને તારો કેજરીખાન ગુજરાતી પાસે ગાંડ મરાવે તો પણ તને સત્તા નથી મળવાની,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4007,વાહ વાહ ગોપાલ ભાઈ તમે દરેક મુદ્દાને જબરદસ્ત છરાવતસાથે પબ્લિક ને સમજાવયા. હવે આવાજ પ્રવક્તાઓની નિમણૂંક કરો જે સરળ ભાષામાં લોકો ને સમજાવે.,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4008,જો ત્રીજી લેર આવી તો તેમની જવાબદારી aap હશે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4009,જો ભાઈ કોગ્રેસે દેશને કરજ મા નાખી ને તાગડધિન્ના કર્યા. ભાજપે જનતાને લુટીને તાગડધિન્ના કર્યા. ને હવે ઈસુદાનભાઈ જો ઞેરંટી લેતા હોય તો ઞુજરાત ની જનતા એ એકવાર અખતરો કરવો જ જોઈએ.,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4010,ભાજપ સરકાર ની મા ફાડીનાખ્યી ...,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
4011,બસ મારે એકવાર ઈસુદાનભાઈ ને મળવુ છે સકય હોયતો......... નાના મોઢે મોટી વાત છે આ.,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4012,"ઇસુદાન ભાઈ ને ખુબ ખુબ અભિનંદન
આમ આદમી પાર્ટી જિંદાબાદ ખેડૂત ભાઈઓ જિંદાબાદ","""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
4013,ઈસુદાનભાઈ વાહા ભાજપીયા ને ઉખાડીને રા વણ ઘોડે ઉખેડીને ફેંકી દો દરિયા માં ખાતર ના ભાવ વધિયા તારે ફોન પર જવાબ નોતું દેતુ અત્યારે ઉર્જા મંત્રી બન્યું આવું છે ઈસુદાનભાઈ,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4014,ઇસુદાન ભાઈ ગઢવી મુખ્યમંત્રી હોવા જોઈએ ખેડું સારું થાય છે સામાન્ય માણસોનું પણ સારું થાય છે,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
4015,આમ આદમી પાર્ટી મુસ્લિમો નું ભલું કરે છે. તમારું કયું કામ દેશહિતનુ છે ? ફેકમ્ ફેક બંધ કરો. બધુજ મફતમાં મળશે પછી કામ તમારાં બાપ કરશે ?,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4016,ચોરના પેતના ગધેડાઓ ને ગદપ નો ભારો,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4017,"મે એક 😂😁વાર ભક્ત ને પુછ્યુ કે સાહેબ આ સરકાર માં વિકાસ ના નામે જનતા ને બહુ તકલીફ પડી રહી છે , મોંઘવારી માં લોકો આપધાત કરી રહ્યા છે, આમાં બિચારો સામાન્ય માણસ પિસાઈ ગયો છે સરકાર ના વિકાસ માં😂
'ત્યારે ભક્તે મને જવાબ આપ્યો 'કે જો સાહેબ તમે તમારા😂😂 ઘરમાં દીવાલો પર ચમકચુનો લગાવો તો તકલીફ પડે કે નહીં😂😂😂😂😂😂😂","""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4018,"તમે તો સીધાજ SUV માં નિકળ્યા
ડાયોલગ પણ શિવરાજસિંહ ચૌહાણે ના એ પણ ભાજપ ના ડાયલોગ","""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4019,છ હજાર સ્કૂલો બંધ થાઈ કે એની પાછળ બીજી છ હજાર સ્કૂલો બંધ થાઈ આપણે શું આપણે તો જાત પાત અને ધર્મ ના નામે રાજનીતિ કરવાની અને આપણે તો મોંઘી મોંઘી ગાડીઓ ખરીદવાની મોંઘા બંગલા ખરીદવાના ફાર્મહાઉસ ખરીદવાના એ મજા કરવાની પ્રજાનું જે થવું હોય તે થાય...... પબ્લિકનો ટેક્સ તો આપણા બાપની જાગીર છે.,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4020,ધન્યવાદ સુરત થી આમ આદમી પાર્ટી જીંદા બાદ,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
4021,સરકાર ગમે તે આવે મોંઘવારી નહીં ઘટે આ વાત સાચી છે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4022,દાહોદ માં અવાર નવાર આવા બનાવો બનતા હોય છે. આ બાબતે કડક પગલાં લેવા જોઈએ.,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4023,એણે તો ઈજ્જત ગીરવે મૂકી પણ સાસરી વાળા તો એના થી પણ આગળ નીકળી ગયા એમણે તો ઈજ્જત ના ધજાગરા જ ઉડાવી દીધા.,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4024,ભેંથોક બાયારી ને એવું ન કરવું જોઈએ અને બીજી જગ્યા ઍ સંબંધ રાખવાની કઈ જરૂર છે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4025,આવા લોકો ને જેલ માં જઈને બરાબર ધોઈ નાખો...મહિલા સાથે આવું કરે સે બાયલા વો....,"""Hate"",""Sexist""",Hate,Sexist,"Hate,Sexist","""Hate""","""Sexist"""
4026,આવા લોકો ને કડક કાર્યવાહી કરો ને એ લોકો ને પણ નગ્ન હાલતમાં આખાં ફેરવો સાલ પોતે બીજી ત્રી જોડે આડા સંબંધ બાંધતા હોય છે સરમ કરો એ પણ કોઈ ની બેન દીકરી છે આવું નાકરાય,"""Hate"",""Promoting violence""",Hate,Promoting violence,"Hate,Promoting violence","""Hate""","""Promoting violence"""
4027,સજા તો બરોબર શે આવુ ત કરૂ પડે કાઠયાવાડ મા જયને ચાલુ થય જાય શેઠ જોડે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4028,"હમણાં તો લાગે કે દાહોદ મા જાણે કળયુગ બેઠો એવુ લાગે હો 3 . 4 વર્ષ થી તો છોકરી ના ભાવમાં પણ ઘણોજ ઉચાળા આવીયો જે ને આવા બનાવ પણ ઘણા વધી રહ્યો છે
આજથી 5 વર્ષ પહેલાં છોકરો પાસે થી 3 લાખ લેતા હતા અને આજે 8 લાખ . આવી રીતે તો શેરમાર્કેટ ઉચાળ નથી ગરીબ લોકો છુ કરે જે બીચારો છોકરો લગ્ન કરે એટલે લાખો નુ દેવુ કરી બેસે પછી આખી જીંદગી મજુરી કરે પછી છોકરાને કઈ ભણાવે પછી આવાજ સંસ્કાર આવે.","""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4029,એનો ભાયડો એની જરૂરીયાત પુરી નહી કરતો હોય,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4030,નીતીન પટેલ ને કડી(શહેર) મા હતા ત્યાર થી જ ઓળખુ છુ. ગેનીબેન તમારી વાત સાચી છે.,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4031,ગેંડા અને પડા બંને ની ચામડી જાડી જ હોય..કાઈ અસર ના થાય.,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
4032,"આ લોકોને આવી જ ભાષા સમજાશે..
આમ પણ મોદીએ રાજકારણમાં બધી મર્યાદાઓ વટાવી દીધી છે જ..","""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4033,"આ,,,જે છે એ પેલા છિગડા વાળા રાક્ષસ અત્યાર ના નેતા છિગડા વગર ના રાક્ષસ છે","""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
4034,અંગુઠા છાપ મુખ્ય મંત્રી વિશે પણ થોડુ બોલ્યા હોત તો સારૂ થાત...,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4035,સાચી વાત જે લોકો ને પ્રજા ની નથી પડી તે લોકો ને આવા શબ્દો છૂટ કરે છે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4036,સસ્પેન્ડ કરો લોડા ઓ ને જ,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
4037,"તારાપુર રોડ પર લૂખા નો બવ ત્રાસ સે ભળવા ને સસ્પેન્ડ કરો ,,,","""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4038,ગાડીવાળા રોજગાર નથી ધંધા નથી ડીઝલ ભાવ વધી ગયા,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4039,સસ્પેન્ડ કરી નાખો પોલીસવાળા ને બીજું કાંઈ ન કરાય ને એટલે દાળિયા તેને ખબર પડે કેમ પૈસા થાય,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4040,તારી પાસે આટલી મોટી ગાડી છે ઉપર મારને ખબર પડે ગુજરાતના પઠાણની ઉકાત એટલે સુ એ લોકો પોલિસ ની જાત બતાવે તો આપણે આપણી જાત બતાવાઈ,"""Hate"",""Promoting violence""",Hate,Promoting violence,"Hate,Promoting violence","""Hate""","""Promoting violence"""
4041,ગુજરાત માં કોઈ કાયદો નથી,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4042,આ લોકો ને કોઈ કારીયા વારી કરવી જોઈએ પોલીસ ની દાદા ગીરી બોવ વધીસ,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4043,ગુજરાત પોલીસ રીશ્વતખોર છે.,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4044,પુરા થાતિ વિધિ કરો ભાઇ લુખાને,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4045,પોલીસની ખુબ જ દાદાગીરી બધાને હેરાન કરવા સરકારે પરમીટ આપી દીધા છે સરકારને આના વિષે કઈ પડી નથી,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4046,ખરેખર તો ગુજરાતમાં ત્રાસ છે પોલીસનો,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4047,અત્યારે ડીઝલના ભાવ પણ વધી રહ્યા છે આજે રોજગાર પણ બંધ છે તો પોલીસની દાદાગીરી,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4048,માણસ કેટલુ સહન કરે આમજ સારો માણસ હિંસક બની જાય છે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4049,2 ટાકા ના ઠોલિયાઓ હરમીઓ.સૌરાષ્ટ્ર થી સાઉથ ગુજરાત સુધી બધાજ હપ્તાઓ ઉધરાવે છે ટ્રક વાળાઓ ના. ટ્રક ના એસોસિએશન વાળા એ IG DIG ઉપર હપ્તા ઉઘરાવતા જ વિડિઓ રેકોર્ડિંગ સાથે રજુઆત કરવી જોઉએ કે તમારા નીચેના આ ઠોલાઓ ઉપર જ તમારો કંટ્રોલ નથી તો ગુજરાત ના સેફટી ની સુ વાત કરવી.😊,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4050,ન્યૂઝ વારા ખાલી ન્યૂઝ બનાવી અને તમારી TRP વધારવા ન્યૂઝ ના બનાવો આવા પોલીસ ઉપર કાયદેસર ની કાર્યવાહી હાથ ધરાવવી જોઈએ,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4051,ભાઈ ને હપ્તા ચડી ગયા છે એટલે માલ ગોતવા નિકળ્યા છે શિકાર કરવા નીકળયા ને શિકાર થઈ ગયા 😂😂,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4052,જેની ગાડી માં થી દારૂ ની બોટલ મળે છે તેની ઉપર કેસ બનાવો,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4053,કાર ચાલક ને સમજાવો કે ટ્રક વડા ભેગા થશે ને તો ડાયરેક્ટ તે જગ્યા પર માર સે બેસવા લાયક પણ નઈ રઈ સકાય,"""Hate"",""Promoting violence""",Hate,Promoting violence,"Hate,Promoting violence","""Hate""","""Promoting violence"""
4054,"ભાઈ આ કાર ચાલક ને તો જોવો યાર ...
ગાડી હપ્તાં પૂરા થય ગયા એટલે નમ્બર પ્લેટ નથી રાખતો ... વાહ તારી બકચોદ્દી વાહ ...😂😂😂","""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
4055,"કામ ધંધો કાઈ કરવો નથી અને લુખ્ખાગીરી ને રળતા આવા તત્વો ને પોલીસ નો જ સપોર્ટ મળી રહે છે, એટલે જ આવી રીતે મજુરી કરી ને રળતા લોકો ને પરેશાન કરે છે...","""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4056,આવા લૂકખા પાછા નામ ની પાછળ સિંહ જરૂર લગાડે પાછા.,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4057,આવી રીતના કોઈ અજાણી વ્યક્તિ up તો પુરાવા આવે ને તો પેલા મોબાઈલ રેકોર્ડિંગ કરી લેવું સબૂત આપણું સાચું મોબાઈલ,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4058,"વાહ લોરા ને હપ્તા ચઢી ગયા એટલે નમ્બર પ્લેટ નાઈ રાખી , વાહ એની બકચોદી વાહ 😂","""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
4059,સુરતથી કાઠિયાવાડ જતા વાસદ ચોકડી થી વટામણ ચોકડી સુધી પોલીસ સુરત વાળાને બહું હેરાન કરે છે અને મોટી રકમ વસુલવામાં આવે છે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4060,આતો ચોર કોટવાલ ને દંડે આવા ની સામૈ સખત કાર્યવાહી કરવામાં આવે 🤭🤭🤭🤭🤗🤗🤗,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4061,સાલા પોલીસ વાળા o ની તો વગે કરી. ને પતર ફાડૉ. તારી સાથે જ છુ હું ભાઈ,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4062,પહેલા તો પોલીસની ગાડીને નંબર જ... આપણા વાહન નંબર પ્લેટ ના હોય તો પૈસા ભરવા પડે છે... એમની ગાડી ને પણ નંબર પ્લેટ નથી એમને પણ દંડ થવો જોઈએ,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4063,એ ભાઈ એને જવા દો એની ગાડી ના હપ્તા ચડી ગયા છે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4064,એ વાત સાચી હો હપ્તા તો બાકી જ હશે😀😀😀😀,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4065,ગાડી ના હપ્તા ચડી ગયા સે એટલે હપ્તા વસુલ કરતો લાગેસે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4066,કામ કરીને ખાવ તો સારૂ છે હવે તમારી લુખ્ખા ગીરી બંધ કરો તો સારૂ હવે તમારા પાપ નો ધડો છલકાવા માડયો છે બંહુથઈ છે હવે તમને સમજાઈ તો સારૂ...,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4067,"ખટારા નો ડ્રાઈવર જો બોવ દેકારો કરે છે લુખો
હપ્તા ચડી ગયા છી નંબર પ્લેટ નાથી તારી માણે વેચી દે માર્કેટ મા","""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4068,ખટારા નો ડ્રાઈવર જો બોવ દેકારો કરે છે લુખો હપ્તા ચડી ગયા છી નંબર પ્લેટ નાથી તારી માણે વેચી દે માર્કેટ મા,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4069,કાર ચાલક ને કોને કે તારી ફાકા ફોજદારી બંધ કરે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4070,આ પી.આઇ પાસે માસ્ક નો દંડ કોન લેશે?,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4071,ભાજપ હવે હાર જોઈ ગયું છે તે આ વાત છે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4072,આ દોગલા ઓ બધુ ભુલી જાય મફતની લાલચ મા,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4073,પબલી ક પોતે પોતાના પગ પર કવાડો મારે સે ભાજપ સરકારને લાવીને,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4074,"હજી સત્તા માં નથી ત્યારે એટલા નાટક છે સરકાર માં આવશે તો શું કરશે 😃
ફક્ત બહાના બહાના બહાના અને ભાજપ એ જ ગુજરાત નો વિકાસ કર્યો છે આ નટવર લાલ શું કરશે આંદોલન અને ધરણાં","""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4075,શાસકપક્ષ લોકશાહી નું ગળું દબાવતી હોઈ તેવું વર્તન થઇ રહ્યુ હોય... તેવું દેખાય છે...,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4076,હીટલર શાહી કેવી હતી તે માત્ર સાંભળેલી તે જોવા મળતી લાગે છે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4077,તાનાશાહી.નો હંમેશા વિરોધ કરતા ગભરાવું નહીં કારણ કે ઇતિહાસ માં લડનાર નું જ નામ લખાય છે. પગ ચાટનારા નું નહીં.,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4078,"ચોદયા ઇન્દિરા ગાંધીએ તાનશાહી લગાવી હતી એ બાપદાદાને પૂછી લેજે, અત્યારે લોકશાહી છે એટલે તો આ ટોપી વાળા ગુજરાતમાં અશાંતિ સર્જવા લાગ્યા છે...","""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
4079,પોલીસ કર્મીને હજુ તેને ખબર નથી કે હવે આપ જાગૃત થઈ ચૂક્યું છે અને સત્તા મા પણ આવશે...,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4080,સામાન્ય માણસને પોલીસ કેદી જવાબ આપે છે ક્યાંય બાદ સામાન્ય માણસને જવાબ મળતો નથી,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4081,પોલીસ ભાજપ ની પપેટ છે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4082,ગુજરાત શાંતિથી જીવો અને જીવવા દો,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4083,ભાજપ વાડા ચડી કાઢી લેશે.,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4084,પબ્લિક સબ જાનતી હે..,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4085,આ. આતંક વાદી કોમ ને ભારત માંથી ભગાવો,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4086,રુપાણી સરકાર મુડદા બાદ....,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
4087,ખજૂરભાઈ અને બંન્ને બહેનો ને સો સો સલામ છે કે બીજા ના માટે સત્ય ની લડાઈ મા સમાજમાં ચાલી રહેલા દૂષણ માટે પહેલ કરી છે ધન્ય ભાઈ તમારા જેવા બધાજ ભાઈઓ એ અવાજ ઉઠાવવો જોઇએ ભાઈ અમે તમારી સાથે જ છીએ.જય માતાજી,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
4088,પેલા મુસ્લિમ આંટી અને એમની જોડે એક હિંદુ બેન દાદા ની વ્યથા સમભલવતા જોઈ રાજુલા ની કોમી એકતા દિલ ગદ ગદ થઈ જાય છે. 🙏,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4089,"પેલા ગાઉન વાળા આંટી, યુવતી અને એમની સાથે ના યુવાન ભાઈને પણ ધન્યવાદ... ખજૂર તો કોહિનૂર છે જ...","""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
4090,😭😭😭 પીપલ પાન ખરતા જોઈ હસતી કુપ્લિયા બેટા આજે દાદા ને હેરાન. કરો કાલે તમારો વારો આવશે 😡😡😠😠😠😠🤬🤬🤬🤬🤬🤬😡,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4091,ખરેખર બધાને આવી મદદ કરવા છતા પણ ???!!! સલામ છે ખજુરભાઇ તમને. 🙏🏻🙏🏻🙏🏻👍🙏🏻👍♥️♥️,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
4092,દાદા તો હાડપિંજર થઈ ગયા છે. સજા કરો જેણે એમની આવી દશા કરી છે એને.,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
